,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
365,sulangan,100,PH,1569161521,79,11.14,123.72,82.05,9.93
366,clyde river,90,CA,1569161522,88,70.47,-68.59,32.0,12.75
367,celestun,0,MX,1569161522,79,20.87,-90.4,80.07,4.81
368,male,100,UA,1569161522,73,50.74,33.7,56.31,12.24
369,havelock,1,US,1569161524,73,34.88,-76.9,79.0,3.42
370,harnosand,0,SE,1569161525,43,62.63,17.94,52.0,4.7
371,irbeyskoye,79,RU,1569161525,68,55.64,95.45,47.31,7.85
372,las lomas,100,PE,1569161525,58,-4.66,-80.24,74.67,5.75
373,collierville,1,US,1569161382,73,35.04,-89.66,78.01,4.7
374,changde,0,CN,1569161526,56,29.04,111.68,66.57,3.33
375,bridgewater,32,CA,1569161505,58,44.38,-64.52,69.01,3.0
376,alagoa grande,0,BR,1569161526,44,-7.16,-35.63,83.31,13.42
377,prince rupert,75,CA,1569161526,100,54.32,-130.32,51.8,8.19
378,takoradi,100,GH,1569161527,85,4.89,-1.75,79.53,5.01
379,avera,1,US,1569161527,64,33.19,-82.53,75.2,4.7
380,kutum,52,SD,1569161527,19,14.2,24.66,92.31,11.9
381,arkadelphia,20,US,1569161527,83,34.12,-93.05,77.0,8.05
382,ciudad bolivar,100,VE,1569161455,80,8.12,-63.55,80.25,2.98
383,constantine,75,DZ,1569161527,54,36.36,6.61,80.6,4.7
